account_id,account_name,arr,contract_end_date,plan_tier,industry,csm_name,region,days_to_renewal,renewing_next_90_days,api_decline_pct,active_user_decline_pct,workflow_decline_pct,latest_sdk,total_tickets,open_tickets,escalated_tickets,p1_tickets,avg_resolution_time,score,verbatim_comment,nps_category,overall_sentiment_x,budget_issue_x,competitor_x,migration_issue_x,executive_involved_x,renewal_risk_reason_x,ai_risk_score_x,ai_risk_level_x,note_length_x,raw_note_x,risk_score,risk_tier,confidence_score,risk_reasons,overall_sentiment_y,budget_issue_y,competitor_y,migration_issue_y,executive_involved_y,renewal_risk_reason_y,ai_risk_score_y,ai_risk_level_y,note_length_y,raw_note_y
1015,Evergreen Media,1330000,2026-07-11,Enterprise,Education,Priya Sharma,EMEA,102,False,23.08,24.69,35.78,v4.0.0,4.0,2.0,0.0,0.0,25.5,-1.0,,No Response,neutral,False,,False,True,contract review due to acquisition and SLA requirements,20.0,Low,250.0,"4/8 evergreen media 1015
Product is fine, team is fine, but their parent company got acquired and all vendor 
contracts are under review. New procurement team is asking for enterprise-level 
SLAs on their Growth plan pricing. It's a negotiation game.",72,High,60,Moderate API usage decline | Workflow activity reduced | Customer is an NPS Detractor | High ARR account | Executive leadership involved,neutral,False,,False,True,contract review due to acquisition and SLA requirements,20.0,Low,250.0,"4/8 evergreen media 1015
Product is fine, team is fine, but their parent company got acquired and all vendor 
contracts are under review. New procurement team is asking for enterprise-level 
SLAs on their Growth plan pricing. It's a negotiation game."
1016,Northstar Logistics,115000,2026-06-30,Growth,Manufacturing,Emily Watson,LATAM,91,False,19.03,16.67,11.11,v4.1.0,7.0,0.0,2.0,0.0,23.133333333333336,7.0,Le produit est bon mais l'interface n'est pas intuitive pour notre équipe marketing.,Passive,negative,True,,True,True,low adoption and usage,70.0,High,362.0,"4/9 Northstar Logistics
account 1016 -- they barely use the product. 2 active users out of 15 seats. 
most content was migrated but nobody adopted the new workflow. classic 
shelfware situation. Their IT director told me they'd rather downgrade to Starter 
than pay full price for something they don't use. not churn per se but 
significant ARR contraction risk.",75,High,65,Support escalations detected | Customer is an NPS Passive | Negative customer sentiment | Budget concerns identified | Migration concerns identified | Executive leadership involved,negative,True,,True,True,low adoption and usage,70.0,High,362.0,"4/9 Northstar Logistics
account 1016 -- they barely use the product. 2 active users out of 15 seats. 
most content was migrated but nobody adopted the new workflow. classic 
shelfware situation. Their IT director told me they'd rather downgrade to Starter 
than pay full price for something they don't use. not churn per se but 
significant ARR contraction risk."
1017,Pacific Rim Trading,1724000,2026-06-10,Enterprise,SaaS / Technology,Carlos Mendez,NA-West,71,True,20.37,15.71,41.57,v4.0.0,4.0,1.0,0.0,0.0,16.95,5.0,产品功能还可以，但客服团队沟通效率太低了。我们多次要求更换客户经理都没有得到回应。非常失望。,Detractor,neutral,False,,False,False,rocky CSM relationship and customer request for new CSM,10.0,Low,261.0,"4/10 pacific rim trading (1017)
mixed signals. usage metrics look healthy but the CSM relationship has been rocky.
they've requested a new CSM twice. their last NPS comment was in mandarin so i 
couldn't read it -- need to get it translated. contract up in may.",65,Medium,55,Moderate API usage decline | Workflow activity reduced | Customer is an NPS Detractor | High ARR account,neutral,False,,False,False,rocky CSM relationship and customer request for new CSM,10.0,Low,261.0,"4/10 pacific rim trading (1017)
mixed signals. usage metrics look healthy but the CSM relationship has been rocky.
they've requested a new CSM twice. their last NPS comment was in mandarin so i 
couldn't read it -- need to get it translated. contract up in may."
1018,Ironclad Security,691000,2026-04-26,Enterprise,Financial Services,Priya Sharma,NA-West,26,True,-8.21,-29.49,-22.75,v4.2.3,3.0,0.0,0.0,0.0,15.433333333333332,10.0,Transformed how our team publishes content. Love it.,Promoter,,,,,,,,,,,67,Medium,70,Renewal due within 30 days | Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan) | Strong customer health offsets renewal risk,,,,,,,,,,
1019,Summit Analytics,1751000,2026-04-28,Enterprise,Travel & Hospitality,Anna Kowalski,LATAM,28,True,-2.72,-6.98,-58.94,v4.1.0,1.0,0.0,0.0,0.0,19.6,3.0,Great developer experience and the support team is phenomenal.,Detractor,,,,,,,,,,,100,High,75,Customer is an NPS Detractor | Renewal due within 30 days | High ARR account | Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan),,,,,,,,,,
1020,Coral Bay Resorts,1610000,2026-05-22,Enterprise,Manufacturing,Sarah Chen,NA-East,52,True,-0.43,-12.35,-10.75,v4.1.0,1.0,0.0,0.0,0.0,9.5,10.0,Great developer experience and the support team is phenomenal.,Promoter,,,,,,,,,,,67,Medium,70,Renewal approaching | High ARR account | Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan) | Strong customer health offsets renewal risk,,,,,,,,,,
1021,Falcon Aerospace,378000,2026-05-04,Scale,Retail,Anna Kowalski,NA-West,34,True,-25.81,-12.12,5.56,v4.3.0,3.0,0.0,0.0,0.0,11.199999999999998,-1.0,,No Response,,,,,,,,,,,90,High,75,Customer is an NPS Detractor | Renewal approaching | Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan),,,,,,,,,,
1022,Jade River Tech,507000,2026-05-23,Enterprise,Manufacturing,Priya Sharma,LATAM,53,True,-13.79,-20.25,-22.97,v4.2.3,0.0,0.0,0.0,0.0,0.0,9.0,Best headless CMS on the market. Period.,Promoter,,,,,,,,,,,62,Medium,70,Renewal approaching | Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan) | Strong customer health offsets renewal risk,,,,,,,,,,
1023,Mosaic Digital,35000,2026-07-10,Starter,Manufacturing,Carlos Mendez,NA-West,101,False,-20.42,33.33,-50.0,v4.3.0,3.0,0.0,0.0,1.0,10.333333333333334,9.0,Transformed how our team publishes content. Love it.,Promoter,,,,,,,,,,,67,Medium,70,Active users declining | Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan),,,,,,,,,,
1024,Beacon Insurance,285000,2026-06-28,Scale,Manufacturing,Sarah Chen,LATAM,89,True,-3.09,-6.06,0.0,v4.2.3,0.0,0.0,0.0,0.0,0.0,9.0,Transformed how our team publishes content. Love it.,Promoter,positive,False,,False,False,,0.0,Low,172.0,"04/08 beacon insurance (acct 1024)
annual check-in. They're regulated so they move slow but steady. renewal 
isn't until Q4. No concerns, just maintaining the relationship.",0,Low,50,Strong customer health offsets renewal risk,positive,False,,False,False,,0.0,Low,172.0,"04/08 beacon insurance (acct 1024)
annual check-in. They're regulated so they move slow but steady. renewal 
isn't until Q4. No concerns, just maintaining the relationship."
1025,Tidal Wave Sports,456000,2026-04-22,Scale,Financial Services,Raj Patel,EMEA,22,True,-27.58,-36.67,12.07,v4.1.0,0.0,0.0,0.0,0.0,0.0,10.0,,Promoter,,,,,,,,,,,60,Medium,70,Renewal due within 30 days | Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan) | Strong customer health offsets renewal risk,,,,,,,,,,
1026,Golden Gate Ventures,65000,2026-05-20,Growth,Government,James Okafor,NA-East,50,True,5.69,-25.0,-12.0,v4.3.0,2.0,0.0,0.0,0.0,15.8,7.0,,Passive,,,,,,,,,,,75,High,70,Customer is an NPS Passive | Renewal approaching | Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan),,,,,,,,,,
1027,Cedar Hill Partners,645000,2026-06-27,Enterprise,Healthcare,Priya Sharma,APAC,88,True,-6.29,10.11,-15.33,v4.3.0,1.0,0.0,0.0,0.0,8.3,5.0,Would recommend to anyone in our industry.,Detractor,,,,,,,,,,,92,High,75,Customer is an NPS Detractor | Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan),,,,,,,,,,
1028,Arctic Fox Games,119000,2026-06-26,Growth,Government,Anna Kowalski,NA-West,87,True,1.04,8.33,0.0,v4.2.3,2.0,1.0,0.0,0.0,7.1,6.0,Transformed how our team publishes content. Love it.,Detractor,,,,,,,,,,,82,High,75,Customer is an NPS Detractor | Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan),,,,,,,,,,
1029,Sapphire Networks,132000,2026-06-10,Growth,SaaS / Technology,David Kim,LATAM,71,True,-26.01,-9.09,-3.45,v4.3.0,1.0,0.0,0.0,0.0,15.5,8.0,We evaluated 5 CMS platforms. Contentstack won easily.,Passive,,,,,,,,,,,70,High,70,Customer is an NPS Passive | Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan),,,,,,,,,,
1030,Ember Creative,754000,2026-11-18,Enterprise,Media & Publishing,James Okafor,EMEA,232,False,-8.59,-20.99,-15.04,v4.1.0,1.0,0.0,0.0,0.0,16.9,10.0,Transformed how our team publishes content. Love it.,Promoter,,,,,,,,,,,52,Medium,70,Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan) | Strong customer health offsets renewal risk,,,,,,,,,,
1031,Prism Optics,30000,2026-11-04,Starter,E-commerce,James Okafor,NA-East,218,False,-31.74,-50.0,0.0,v4.2.3,3.0,0.0,0.0,0.0,14.333333333333334,-1.0,,No Response,,,,,,,,,,,77,High,75,Customer is an NPS Detractor | Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan),,,,,,,,,,
1032,Obsidian Data,68000,2026-07-31,Growth,SaaS / Technology,James Okafor,LATAM,122,False,-22.8,-16.67,-33.33,v4.3.0,3.0,0.0,0.0,0.0,14.833333333333334,7.0,Transformed how our team publishes content. Love it.,Passive,,,,,,,,,,,65,Medium,70,Customer is an NPS Passive | Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan),,,,,,,,,,
1033,Silver Lining Cloud,123000,2027-03-20,Growth,Media & Publishing,Priya Sharma,LATAM,354,False,-39.77,-18.18,-10.0,v4.2.3,3.0,0.0,0.0,0.0,4.3,8.0,,Passive,,,,,,,,,,,65,Medium,70,Customer is an NPS Passive | Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan),,,,,,,,,,
1034,Marble Arch Media,1010000,2027-03-14,Enterprise,Travel & Hospitality,Carlos Mendez,NA-East,348,False,-4.18,-19.48,-26.94,v4.3.0,3.0,1.0,0.0,0.0,12.866666666666667,8.0,Would recommend to anyone in our industry.,Passive,,,,,,,,,,,80,High,70,Customer is an NPS Passive | High ARR account | Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan),,,,,,,,,,
1035,Velvet Rope Events,43000,2027-01-12,Starter,Travel & Hospitality,Anna Kowalski,APAC,287,False,-10.02,-50.0,-20.0,v4.2.3,3.0,0.0,0.0,0.0,10.733333333333334,9.0,Best headless CMS on the market. Period.,Promoter,,,,,,,,,,,42,Medium,70,Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan) | Strong customer health offsets renewal risk,,,,,,,,,,
1036,Iron Bridge Capital,21000,2026-08-15,Starter,Travel & Hospitality,Raj Patel,NA-East,137,False,-15.31,33.33,-50.0,v4.1.0,0.0,0.0,0.0,0.0,0.0,10.0,Best headless CMS on the market. Period.,Promoter,,,,,,,,,,,57,Medium,70,Active users declining | Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan) | Strong customer health offsets renewal risk,,,,,,,,,,
1037,Crystal Clear Analytics,100000,2026-10-20,Growth,Manufacturing,David Kim,NA-West,203,False,-2.74,-27.27,0.0,v4.2.3,1.0,0.0,0.0,0.0,8.4,10.0,We evaluated 5 CMS platforms. Contentstack won easily.,Promoter,,,,,,,,,,,42,Medium,70,Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan) | Strong customer health offsets renewal risk,,,,,,,,,,
1038,Opal Systems,885000,2026-12-04,Enterprise,Education,Carlos Mendez,NA-East,248,False,-15.1,-11.59,-30.29,v4.1.0,1.0,0.0,0.0,0.0,19.5,9.0,Transformed how our team publishes content. Love it.,Promoter,,,,,,,,,,,52,Medium,70,Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan) | Strong customer health offsets renewal risk,,,,,,,,,,
1039,Redwood Health,1654000,2026-09-03,Enterprise,E-commerce,Sarah Chen,NA-East,156,False,-4.51,-1.14,-13.6,v4.2.3,0.0,0.0,0.0,0.0,0.0,10.0,Would recommend to anyone in our industry.,Promoter,,,,,,,,,,,57,Medium,70,High ARR account | Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan) | Strong customer health offsets renewal risk,,,,,,,,,,
1040,Cobalt Robotics,94000,2027-02-08,Growth,Education,David Kim,NA-West,314,False,-22.53,-20.0,-12.0,v4.2.3,0.0,0.0,0.0,0.0,0.0,10.0,Transformed how our team publishes content. Love it.,Promoter,,,,,,,,,,,42,Medium,70,Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan) | Strong customer health offsets renewal risk,,,,,,,,,,
1041,Amber Trail Outdoors,623000,2026-10-07,Enterprise,Travel & Hospitality,Sarah Chen,APAC,190,False,-21.28,-4.76,20.96,v4.1.0,3.0,1.0,0.0,0.0,8.0,2.0,Best headless CMS on the market. Period.,Detractor,,,,,,,,,,,87,High,75,Customer is an NPS Detractor | Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan),,,,,,,,,,
1042,Granite Peak Financial,439000,2026-12-08,Scale,Travel & Hospitality,David Kim,NA-West,252,False,-13.43,-14.71,-12.5,v4.1.0,3.0,0.0,0.0,1.0,14.266666666666666,10.0,Transformed how our team publishes content. Love it.,Promoter,positive,False,,False,True,,10.0,Low,136.0,"3/15 acct 1042 - all good, expanding to APAC team next quarter. 
loves the product. renewal is a formality according to their VP of Eng.",10,Low,55,Executive leadership involved,positive,False,,False,True,,10.0,Low,136.0,"3/15 acct 1042 - all good, expanding to APAC team next quarter. 
loves the product. renewal is a formality according to their VP of Eng."
1043,Sunflower Foods,128000,2026-11-03,Growth,E-commerce,Sarah Chen,EMEA,217,False,-9.03,-30.0,11.43,v4.3.0,1.0,0.0,0.0,0.0,19.7,7.0,Transformed how our team publishes content. Love it.,Passive,,,,,,,,,,,65,Medium,70,Customer is an NPS Passive | Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan),,,,,,,,,,
1044,Neon Pixel Studios,18000,2027-03-16,Starter,Manufacturing,Priya Sharma,NA-East,350,False,-8.97,-50.0,-50.0,v4.3.0,3.0,0.0,0.0,0.0,15.633333333333333,-1.0,,No Response,,,,,,,,,,,77,High,75,Customer is an NPS Detractor | Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan),,,,,,,,,,
1045,Windmill Energy,27000,2026-08-19,Starter,Government,James Okafor,NA-West,141,False,-13.94,0.0,-50.0,v4.3.0,3.0,0.0,0.0,0.0,10.966666666666669,-1.0,,No Response,,,,,,,,,,,77,High,75,Customer is an NPS Detractor | Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan),,,,,,,,,,
1046,Onyx Defense,751000,2026-11-18,Enterprise,Government,Sarah Chen,LATAM,232,False,-20.14,-13.64,-13.73,v4.3.0,2.0,0.0,0.0,0.0,12.1,9.0,Best headless CMS on the market. Period.,Promoter,,,,,,,,,,,52,Medium,70,Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan) | Strong customer health offsets renewal risk,,,,,,,,,,
1047,Topaz AI,42000,2027-04-08,Starter,SaaS / Technology,Emily Watson,NA-West,373,False,-54.98,-50.0,-20.0,v4.2.3,2.0,0.0,0.0,1.0,17.35,-1.0,,No Response,,,,,,,,,,,77,High,75,Customer is an NPS Detractor | Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan),,,,,,,,,,
1048,Lunar Dynamics,325000,2026-11-27,Scale,Travel & Hospitality,Priya Sharma,EMEA,241,False,-5.61,2.94,17.7,v4.1.0,0.0,0.0,0.0,0.0,0.0,8.0,Transformed how our team publishes content. Love it.,Passive,,,,,,,,,,,68,Medium,70,Customer is an NPS Passive | Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan),,,,,,,,,,
1049,Fossil Creek Ranch,1163000,2026-08-21,Enterprise,E-commerce,David Kim,LATAM,143,False,-43.52,-53.62,-8.14,v4.3.0,2.0,0.0,0.0,0.0,10.6,-1.0,,No Response,,,,,,,,,,,92,High,75,Customer is an NPS Detractor | High ARR account | Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan),,,,,,,,,,
1050,Delta Wave Audio,20000,2026-11-01,Starter,Manufacturing,Emily Watson,NA-West,215,False,-20.53,0.0,-20.0,v4.3.0,1.0,0.0,0.0,0.0,16.5,8.0,Best headless CMS on the market. Period.,Passive,,,,,,,,,,,65,Medium,70,Customer is an NPS Passive | Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan),,,,,,,,,,
1051,Ivory Tower Education,236000,2026-11-17,Scale,SaaS / Technology,Emily Watson,NA-West,231,False,-22.64,12.82,0.0,v4.2.3,1.0,0.0,0.0,0.0,13.6,10.0,Best headless CMS on the market. Period.,Promoter,,,,,,,,,,,45,Medium,70,Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan) | Strong customer health offsets renewal risk,,,,,,,,,,
