account_id,account_name,arr,contract_end_date,plan_tier,industry,csm_name,region,days_to_renewal,renewing_next_90_days
1027,Cedar Hill Partners,645000,2026-06-27,Enterprise,Healthcare,Priya Sharma,APAC,88,True
1028,Arctic Fox Games,119000,2026-06-26,Growth,Government,Anna Kowalski,NA-West,87,True
1029,Sapphire Networks,132000,2026-06-10,Growth,SaaS / Technology,David Kim,LATAM,71,True
1030,Ember Creative,754000,2026-11-18,Enterprise,Media & Publishing,James Okafor,EMEA,232,False
1031,Prism Optics,30000,2026-11-04,Starter,E-commerce,James Okafor,NA-East,218,False
1032,Obsidian Data,68000,2026-07-31,Growth,SaaS / Technology,James Okafor,LATAM,122,False
1033,Silver Lining Cloud,123000,2027-03-20,Growth,Media & Publishing,Priya Sharma,LATAM,354,False
1034,Marble Arch Media,1010000,2027-03-14,Enterprise,Travel & Hospitality,Carlos Mendez,NA-East,348,False
1035,Velvet Rope Events,43000,2027-01-12,Starter,Travel & Hospitality,Anna Kowalski,APAC,287,False
1036,Iron Bridge Capital,21000,2026-08-15,Starter,Travel & Hospitality,Raj Patel,NA-East,137,False
1037,Crystal Clear Analytics,100000,2026-10-20,Growth,Manufacturing,David Kim,NA-West,203,False
1038,Opal Systems,885000,2026-12-04,Enterprise,Education,Carlos Mendez,NA-East,248,False
1039,Redwood Health,1654000,2026-09-03,Enterprise,E-commerce,Sarah Chen,NA-East,156,False
1040,Cobalt Robotics,94000,2027-02-08,Growth,Education,David Kim,NA-West,314,False
1041,Amber Trail Outdoors,623000,2026-10-07,Enterprise,Travel & Hospitality,Sarah Chen,APAC,190,False
1042,Granite Peak Financial,439000,2026-12-08,Scale,Travel & Hospitality,David Kim,NA-West,252,False
1043,Sunflower Foods,128000,2026-11-03,Growth,E-commerce,Sarah Chen,EMEA,217,False
1044,Neon Pixel Studios,18000,2027-03-16,Starter,Manufacturing,Priya Sharma,NA-East,350,False
1045,Windmill Energy,27000,2026-08-19,Starter,Government,James Okafor,NA-West,141,False
1046,Onyx Defense,751000,2026-11-18,Enterprise,Government,Sarah Chen,LATAM,232,False
1047,Topaz AI,42000,2027-04-08,Starter,SaaS / Technology,Emily Watson,NA-West,373,False
1048,Lunar Dynamics,325000,2026-11-27,Scale,Travel & Hospitality,Priya Sharma,EMEA,241,False
1049,Fossil Creek Ranch,1163000,2026-08-21,Enterprise,E-commerce,David Kim,LATAM,143,False
1050,Delta Wave Audio,20000,2026-11-01,Starter,Manufacturing,Emily Watson,NA-West,215,False
1051,Ivory Tower Education,236000,2026-11-17,Scale,SaaS / Technology,Emily Watson,NA-West,231,False
1052,Crimson Tide Logistics,1639000,2026-12-16,Enterprise,Government,Sarah Chen,LATAM,260,False
1053,Cerulean Aerospace,254000,2026-09-21,Scale,Retail,James Okafor,NA-East,174,False
1054,Olive Branch Organics,121000,2026-12-06,Growth,Government,Carlos Mendez,EMEA,250,False
1055,Starlight Entertainment,119000,2027-03-30,Growth,Education,Emily Watson,NA-East,364,False
1056,Thunderbolt Motors,43000,2026-12-03,Starter,E-commerce,Sarah Chen,EMEA,247,False
1057,Pearl Harbor Memorial Trust,119000,2026-10-05,Growth,Education,Anna Kowalski,LATAM,188,False
1058,Magenta Health,22000,2026-08-22,Starter,Healthcare,Sarah Chen,EMEA,144,False
1059,Cobblestone Properties,163000,2026-09-18,Growth,E-commerce,Emily Watson,EMEA,171,False
1060,Titanium Fitness,38000,2026-10-30,Starter,Media & Publishing,James Okafor,EMEA,213,False
1061,Flamingo Travel,1802000,2026-10-02,Enterprise,Media & Publishing,Priya Sharma,NA-West,185,False
1062,Driftwood Publishing,552000,2026-10-14,Enterprise,SaaS / Technology,Anna Kowalski,NA-West,197,False
1063,Canyon Edge Adventures,283000,2026-09-08,Scale,Travel & Hospitality,Sarah Chen,APAC,161,False
1064,Eclipse Software,102000,2027-03-07,Growth,SaaS / Technology,Emily Watson,NA-West,341,False
1065,Harbor Light Consulting,56000,2026-10-21,Growth,Travel & Hospitality,Raj Patel,EMEA,204,False
1066,Willow Creek Farms,33000,2027-01-10,Starter,Manufacturing,Anna Kowalski,LATAM,285,False
1067,Stormfront Weather Systems,214000,2026-09-12,Scale,Retail,Priya Sharma,LATAM,165,False
1068,Keystone Education Group,220000,2026-09-08,Scale,Government,Anna Kowalski,EMEA,161,False
1069,Catalyst Innovations,429000,2027-04-02,Scale,Financial Services,Anna Kowalski,LATAM,367,False
1070,Mirage Digital Agency,117000,2026-08-06,Growth,Travel & Hospitality,Sarah Chen,LATAM,128,False
1071,Polaris Navigation,145000,2027-02-20,Growth,Financial Services,Raj Patel,LATAM,326,False
1072,Sandcastle Hospitality,265000,2026-12-15,Scale,Manufacturing,Emily Watson,APAC,259,False
1073,Foxglove Pharmaceuticals,411000,2026-12-13,Scale,Manufacturing,Priya Sharma,NA-West,257,False
1074,Ironwood Manufacturing,1894000,2027-01-25,Enterprise,Healthcare,Emily Watson,APAC,300,False
1075,Ripple Effect Marketing,35000,2026-12-08,Starter,Media & Publishing,Anna Kowalski,LATAM,252,False
1076,Basecamp Outdoors,444000,2027-02-26,Scale,Education,Carlos Mendez,LATAM,332,False
1077,Comet Data Sciences,856000,2026-08-27,Enterprise,Retail,Raj Patel,NA-East,149,False
1078,Trailhead Analytics,131000,2026-11-07,Growth,Media & Publishing,Priya Sharma,NA-East,221,False
1079,Spectrum Health Network,31000,2027-03-15,Starter,Government,James Okafor,APAC,349,False
1080,Nightfall Security,1821000,2026-10-22,Enterprise,Travel & Hospitality,David Kim,APAC,205,False
1081,Daybreak Solar,89000,2026-07-17,Growth,Financial Services,Anna Kowalski,NA-West,108,False
1082,Frostbite Gaming,186000,2027-03-09,Growth,E-commerce,Carlos Mendez,NA-East,343,False
1083,Pebble Stream Media,780000,2027-03-09,Enterprise,Manufacturing,Raj Patel,APAC,343,False
1084,Wildfire Creative,1649000,2027-02-28,Enterprise,Healthcare,David Kim,APAC,334,False
1085,Anchor Point Financial,330000,2026-12-03,Scale,Manufacturing,David Kim,NA-West,247,False
1086,Starboard Ventures,431000,2026-08-23,Scale,Retail,Carlos Mendez,EMEA,145,False
1087,Quicksilver Payments,368000,2026-08-25,Scale,Healthcare,Priya Sharma,NA-West,147,False
1088,Hearthstone Properties,1955000,2026-10-01,Enterprise,Media & Publishing,James Okafor,APAC,184,False
1089,Thunderpeak Mining,1194000,2027-03-10,Enterprise,Travel & Hospitality,Sarah Chen,NA-West,344,False
1090,Bluebell Organics,1317000,2026-07-25,Enterprise,Government,Anna Kowalski,APAC,116,False
1091,Cascadia Tech,38000,2026-12-14,Starter,Travel & Hospitality,Anna Kowalski,LATAM,258,False
1092,Silverthorn Consulting,178000,2026-11-04,Growth,Retail,Anna Kowalski,APAC,218,False
1093,Redstone Engineering,40000,2027-01-03,Starter,Travel & Hospitality,Priya Sharma,APAC,278,False
1094,Cloudbreak Surf Co,190000,2026-07-28,Growth,Travel & Hospitality,Sarah Chen,NA-East,119,False
1095,Copperfield Education,785000,2027-03-08,Enterprise,Healthcare,Sarah Chen,EMEA,342,False
1096,Everest Data,1187000,2026-10-31,Enterprise,Education,Raj Patel,EMEA,214,False
1097,Icefall Analytics,1084000,2027-02-15,Enterprise,Retail,James Okafor,APAC,321,False
1098,Magnolia Health Systems,18000,2027-01-10,Starter,Media & Publishing,James Okafor,NA-East,285,False
1099,Oakridge Retail,31000,2026-10-25,Starter,E-commerce,Priya Sharma,NA-West,208,False
1100,Seabreeze Hospitality,174000,2026-09-11,Growth,Government,Carlos Mendez,APAC,164,False
1101,Blackthorn Security,393000,2026-10-08,Scale,Government,James Okafor,NA-West,191,False
1102,Goldrush Fintech,257000,2026-07-28,Scale,Retail,Anna Kowalski,APAC,119,False
1103,Moonrise Studios,70000,2026-11-16,Growth,Financial Services,Emily Watson,LATAM,230,False
1104,Timberwolf Logistics,18000,2027-01-08,Starter,Manufacturing,Anna Kowalski,EMEA,283,False
1105,Ferndale Publishing,48000,2027-01-05,Starter,E-commerce,Anna Kowalski,APAC,280,False
1106,Stonebridge Capital,43000,2027-01-16,Starter,Education,Priya Sharma,APAC,291,False
1107,Ravenswood Media,187000,2026-11-30,Growth,Government,David Kim,APAC,244,False
1108,Clearwater Systems,1743000,2026-11-29,Enterprise,SaaS / Technology,Carlos Mendez,NA-East,243,False
1109,Pinehurst Golf Tech,436000,2026-11-16,Scale,Education,Anna Kowalski,EMEA,230,False
1110,Dewdrop Organic Foods,47000,2026-12-28,Starter,Healthcare,David Kim,NA-West,272,False
1111,Firestorm Marketing,335000,2027-01-05,Scale,Retail,Emily Watson,LATAM,280,False
1112,Stargazer Telescopes,49000,2026-10-20,Starter,Financial Services,Carlos Mendez,APAC,203,False
1113,Whitewater Adventures,1664000,2026-11-15,Enterprise,Education,David Kim,APAC,229,False
1114,Rosewood Hotels,21000,2026-12-12,Starter,Media & Publishing,Anna Kowalski,NA-West,256,False
1115,Sapwood Furniture Co,393000,2027-03-14,Scale,Manufacturing,Raj Patel,APAC,348,False
1116,Thunderhead Cloud,384000,2027-03-04,Scale,Retail,Emily Watson,EMEA,338,False
1117,Marshland Conservation,82000,2026-10-21,Growth,SaaS / Technology,James Okafor,LATAM,204,False
1118,Ridgeline Software,100000,2026-11-02,Growth,Education,Emily Watson,LATAM,216,False
1119,Sunstone Energy,253000,2026-10-22,Scale,Retail,Carlos Mendez,EMEA,205,False
